OrderID,OrderDate,Country,Region,Category,Product,UnitsSold,UnitPrice,TotalRevenue
1001,2025-03-20,Bangladesh,Asia,Apparel,Jacket,46,29.07,1337.22
1002,2023-09-12,Saudi Arabia,Asia,Home Goods,Bed Frame,32,561.88,17980.16
1003,2023-08-10,Pakistan,Asia,Electronics,Headphones,20,611.25,12225.0
1004,2024-04-19,Thailand,Asia,Electronics,Smartphone,45,1000.09,45004.05
1005,2025-03-04,Turkey,Europe,Books,Fiction Novel,22,19.71,433.62
1006,2023-02-18,Malaysia,Asia,Electronics,Tablet,42,775.53,32572.26
1007,2024-12-05,Saudi Arabia,Asia,Books,Cookbook,34,70.52,2397.68
1008,2023-08-09,Brazil,South America,Books,Biography,34,74.36,2528.24
1009,2024-06-29,Canada,North America,Apparel,Jeans,3,99.93,299.79
1010,2023-02-19,Pakistan,Asia,Home Goods,Blender,36,159.46,5740.56
1011,2024-07-20,South Korea,Asia,Home Goods,Bed Frame,50,322.51,16125.5
1012,2023-09-11,Canada,North America,Apparel,Jacket,25,224.04,5601.0
1013,2023-03-30,Philippines,Asia,Apparel,Dress,37,248.51,9194.87
1014,2023-03-01,Russia,Europe,Home Goods,Bed Frame,3,670.87,2012.61
1015,2023-02-18,Netherlands,Europe,Electronics,Laptop,46,1259.63,57942.98
1016,2024-08-20,Vietnam,Asia,Home Goods,Coffee Maker,45,84.59,3806.55
1017,2023-12-04,India,Asia,Home Goods,Blender,45,195.01,8775.45
1018,2024-06-15,Nigeria,Africa,Apparel,Sneakers,33,234.68,7744.44
1019,2023-11-24,Spain,Europe,Home Goods,Bed Frame,30,778.07,23342.1
1020,2024-06-11,Nigeria,Africa,Books,Cookbook,47,53.08,2494.76
1021,2023-01-28,Indonesia,Asia,Electronics,Tablet,36,695.16,25025.76
1022,2025-01-21,South Korea,Asia,Electronics,Smartwatch,46,672.01,30912.46
1023,2023-05-28,Turkey,Europe,Apparel,T-Shirt,12,85.04,1020.48
1024,2024-02-20,South Korea,Asia,Apparel,Sneakers,19,147.97,2811.43
1025,2024-10-02,Canada,North America,Apparel,Jeans,28,42.58,1192.24
1026,2024-09-29,Nigeria,Africa,Home Goods,Bed Frame,21,451.27,9476.67
1027,2023-01-03,Germany,Europe,Electronics,Smartphone,40,1042.48,41699.2
1028,2023-12-23,France,Europe,Home Goods,Blender,48,495.68,23792.64
1029,2023-08-09,Philippines,Asia,Books,Fiction Novel,25,68.07,1701.75
1030,2023-03-02,Philippines,Asia,Apparel,T-Shirt,25,215.19,5379.75
1031,2023-09-14,Egypt,Africa,Books,Biography,42,17.18,721.56
1032,2023-11-26,Nigeria,Africa,Apparel,T-Shirt,17,93.86,1595.62
1033,2023-02-20,Malaysia,Asia,Electronics,Headphones,3,1168.45,3505.35
1034,2025-06-16,Vietnam,Asia,Apparel,Jacket,45,247.73,11147.85
1035,2025-06-05,Mexico,North America,Books,Science Journal,10,27.23,272.3
1036,2025-05-07,Egypt,Africa,Apparel,Jacket,45,125.15,5631.75
1037,2024-10-24,Saudi Arabia,Asia,Books,Cookbook,9,52.05,468.45
1038,2023-05-04,Thailand,Asia,Apparel,Jacket,35,243.81,8533.35
1039,2023-01-20,Argentina,South America,Books,Cookbook,13,31.21,405.73
1040,2023-08-17,Argentina,South America,Home Goods,Vacuum Cleaner,34,407.94,13869.96
1041,2024-02-23,Japan,Asia,Home Goods,Bed Frame,35,728.76,25506.6
1042,2025-04-13,Turkey,Europe,Electronics,Laptop,45,1388.02,62460.9
1043,2023-09-29,Japan,Asia,Books,Fiction Novel,6,30.43,182.58
